location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"814 Nw State Route 7 MO 64014",39.028058,-94.271318,1,rooftop,814,"NW 7 Hwy",,,"Blue Springs",MO,"Jackson County",64014,US,Jackson
"4491 Sw State Route 7 MO 64014",39.00569,-94.252933,0.33,place,,,,,"Blue Springs",MO,"Jackson County",64014,US,"TIGER/Line® dataset from the US Census Bureau"
"1515 Nw Woods Chapel Rd MO 64015",39.033135,-94.305986,1,rooftop,1515,"NW Woods Chapel Rd",,,"Blue Springs",MO,"Jackson County",64015,US,Jackson
"920 SW US Highway 40 MO 64015",39.008868,-94.276729,1,rooftop,920,"SW Eastbound Us 40 Hwy",,,"Blue Springs",MO,"Jackson County",64015,US,Jackson
"515 W Main St MO 65616",36.644413,-93.22273,1,rooftop,515,"W Main St",,,Branson,MO,"Taney County",65616,US,Taney
"2214 W 76 Country Blvd MO 65616",36.641176,-93.263875,1,range_interpolation,2214,"W 76 Country Blvd",,,Branson,MO,"Taney County",65616,US,"TIGER/Line® dataset from the US Census Bureau"
"1361 State Highway 248 MO 65616",36.663609,-93.240089,1,rooftop,1361,"State Hwy 248",,,Branson,MO,"Taney County",65616,US,Taney
"140 Corporate Pl MO 65616",36.687683,-93.21818,1,rooftop,140,"Corporate Pl",,,Branson,MO,"Taney County",65616,US,Taney
"515 W Main St MO 65616",36.644413,-93.22273,1,rooftop,515,"W Main St",,,Branson,MO,"Taney County",65616,US,Taney
"2214 W 76 Country Blvd MO 65616",36.641176,-93.263875,1,range_interpolation,2214,"W 76 Country Blvd",,,Branson,MO,"Taney County",65616,US,"TIGER/Line® dataset from the US Census Bureau"
"1361 State Highway 248 MO 65616",36.663609,-93.240089,1,rooftop,1361,"State Hwy 248",,,Branson,MO,"Taney County",65616,US,Taney
"140 Corporate Pl MO 65616",36.687683,-93.21818,1,rooftop,140,"Corporate Pl",,,Branson,MO,"Taney County",65616,US,Taney
"12499 Natural Bridge Rd MO 63044",38.757405,-90.430059,1,rooftop,12499,"Natural Bridge Rd",,,Bridgeton,MO,"St. Louis County",63044,US,"St Louis"
"3296 Rider Trl S MO 63045",38.761871,-90.454911,1,rooftop,3296,"S Rider Trl",,,"Earth City",MO,"St. Louis County",63045,US,"St Louis"
"12499 Natural Bridge Rd MO 63044",38.757405,-90.430059,1,rooftop,12499,"Natural Bridge Rd",,,Bridgeton,MO,"St. Louis County",63044,US,"St Louis"
"3296 Rider Trl S MO 63045",38.761871,-90.454911,1,rooftop,3296,"S Rider Trl",,,"Earth City",MO,"St. Louis County",63045,US,"St Louis"
"1925 Broadway St MO 63701",37.313049,-89.544755,1,range_interpolation,1925,"Broadway St",,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"TIGER/Line® dataset from the US Census Bureau"
"3419 William St MO 63701",37.302703,-89.583526,1,rooftop,3419,"William St",,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"City of Cape Girardeau"
"528 Helena St MO 63701",37.312034,-89.545998,1,rooftop,528,"Helena Ave",,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"City of Cape Girardeau"
"W Park Mall MO 63703",37.298932,-89.574442,1,street_center,,"W Park Mall",,,"Cape Girardeau",MO,"Cape Girardeau County",63703,US,"TIGER/Line® dataset from the US Census Bureau"
"1925 Broadway St MO 63701",37.313049,-89.544755,1,range_interpolation,1925,"Broadway St",,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"TIGER/Line® dataset from the US Census Bureau"
"3419 William St MO 63701",37.302703,-89.583526,1,rooftop,3419,"William St",,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"City of Cape Girardeau"
"528 Helena St MO 63701",37.312034,-89.545998,1,rooftop,528,"Helena Ave",,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"City of Cape Girardeau"
"W Park Mall MO 63703",37.298932,-89.574442,1,street_center,,"W Park Mall",,,"Cape Girardeau",MO,"Cape Girardeau County",63703,US,"TIGER/Line® dataset from the US Census Bureau"
"2812 Hazel St MO 64836",37.140138,-94.319482,1,range_interpolation,2812,"Hazel St",,,Carthage,MO,"Jasper County",64836,US,"TIGER/Line® dataset from the US Census Bureau"
"1111 W Central Ave MO 64836",37.178726,-94.324652,0.9,range_interpolation,1111,"W Central Ave",,,Carthage,MO,"Jasper County",64836,US,"TIGER/Line® dataset from the US Census Bureau"
"2812 Hazel St MO 64836",37.140138,-94.319482,1,range_interpolation,2812,"Hazel St",,,Carthage,MO,"Jasper County",64836,US,"TIGER/Line® dataset from the US Census Bureau"
"1111 W Central Ave MO 64836",37.178726,-94.324652,0.9,range_interpolation,1111,"W Central Ave",,,Carthage,MO,"Jasper County",64836,US,"TIGER/Line® dataset from the US Census Bureau"
"110 Long Rd MO 63005",38.667313,-90.617031,1,rooftop,110,"Long Rd",,,Chesterfield,MO,"St. Louis County",63005,US,"St Louis"
"100 Long Rd MO 63005",38.667901,-90.617047,1,rooftop,100,"Long Rd",,,Chesterfield,MO,"St. Louis County",63005,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"13559 Olive Blvd MO 63017",38.680384,-90.501108,1,rooftop,13559,"Olive Blvd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"1701 Clarkson Rd MO 63017",38.643555,-90.567021,1,rooftop,1701,"Clarkson Rd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"110 Long Rd MO 63005",38.667313,-90.617031,1,rooftop,110,"Long Rd",,,Chesterfield,MO,"St. Louis County",63005,US,"St Louis"
"100 Long Rd MO 63005",38.667901,-90.617047,1,rooftop,100,"Long Rd",,,Chesterfield,MO,"St. Louis County",63005,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"13559 Olive Blvd MO 63017",38.680384,-90.501108,1,rooftop,13559,"Olive Blvd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"1701 Clarkson Rd MO 63017",38.643555,-90.567021,1,rooftop,1701,"Clarkson Rd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"101 Lamp And Lantern Vlg MO 63017",38.626077,-90.516417,1,rooftop,101,"Lamp And Lantern Vlg",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"Jackson St MO 64601",39.793553,-93.551076,1,street_center,,"Jackson St",,,Chillicothe,MO,"Livingston County",64601,US,"TIGER/Line® dataset from the US Census Bureau"
"810 W Business 36 MO 64601",39.795225,-93.588876,0.33,place,,,,,Chillicothe,MO,"Livingston County",64601,US,"TIGER/Line® dataset from the US Census Bureau"
"Jackson St MO 64601",39.793553,-93.551076,1,street_center,,"Jackson St",,,Chillicothe,MO,"Livingston County",64601,US,"TIGER/Line® dataset from the US Census Bureau"
"810 W Business 36 MO 64601",39.795225,-93.588876,0.33,place,,,,,Chillicothe,MO,"Livingston County",64601,US,"TIGER/Line® dataset from the US Census Bureau"
"415 Conley Rd MO 65201",38.954901,-92.296588,1,rooftop,415,"Conley Rd",,,Columbia,MO,"Boone County",65201,US,Boone
"909 Lowry St MO 65201",38.945189,-92.327482,1,range_interpolation,909,"Lowry St",,,Columbia,MO,"Boone County",65201,US,"TIGER/Line® dataset from the US Census Bureau"
"500 E Nifong Blvd MO 65201",38.909554,-92.332705,1,rooftop,500,"E Nifong Blvd",,,Columbia,MO,"Boone County",65201,US,Boone
"3206 Clark Ln MO 65202",38.963254,-92.289921,1,rooftop,3206,"Clark Ln",,,Columbia,MO,"Boone County",65202,US,Boone
"1012 Smiley Ln MO 65202",38.992745,-92.324348,1,rooftop,1012,"Smiley Ln",,,Columbia,MO,"Boone County",65202,US,Boone
"205 Basin Dr MO 65203",38.959209,-92.381953,1,rooftop,205,"Basin Dr",,,Columbia,MO,"Boone County",65203,US,Boone
"415 Conley Rd MO 65201",38.954901,-92.296588,1,rooftop,415,"Conley Rd",,,Columbia,MO,"Boone County",65201,US,Boone
"909 Lowry St MO 65201",38.945189,-92.327482,1,range_interpolation,909,"Lowry St",,,Columbia,MO,"Boone County",65201,US,"TIGER/Line® dataset from the US Census Bureau"
"500 E Nifong Blvd MO 65201",38.909554,-92.332705,1,rooftop,500,"E Nifong Blvd",,,Columbia,MO,"Boone County",65201,US,Boone
"3206 Clark Ln MO 65202",38.963254,-92.289921,1,rooftop,3206,"Clark Ln",,,Columbia,MO,"Boone County",65202,US,Boone
"1012 Smiley Ln MO 65202",38.992745,-92.324348,1,rooftop,1012,"Smiley Ln",,,Columbia,MO,"Boone County",65202,US,Boone
"205 Basin Dr MO 65203",38.959209,-92.381953,1,rooftop,205,"Basin Dr",,,Columbia,MO,"Boone County",65203,US,Boone
"119 Crown Hill Rd MO 64024",39.338702,-94.249017,1,range_interpolation,119,"Crown Hill Rd",,,"Excelsior Springs",MO,"Clay County",64024,US,"TIGER/Line® dataset from the US Census Bureau"
"2221 Happy Ln MO 64024",39.332601,-94.274632,0.22,place,,,,,"Excelsior Springs",MO,"Clay County",64024,US,"TIGER/Line® dataset from the US Census Bureau"
"119 Crown Hill Rd MO 64024",39.338702,-94.249017,1,range_interpolation,119,"Crown Hill Rd",,,"Excelsior Springs",MO,"Clay County",64024,US,"TIGER/Line® dataset from the US Census Bureau"
"2221 Happy Ln MO 64024",39.332601,-94.274632,0.22,place,,,,,"Excelsior Springs",MO,"Clay County",64024,US,"TIGER/Line® dataset from the US Census Bureau"
"1700 W Columbia St MO 63640",37.771109,-90.446821,1,range_interpolation,1700,"W Columbia St",,,Farmington,MO,"St. Francois County",63640,US,"TIGER/Line® dataset from the US Census Bureau"
"207 W Karsch Blvd MO 63640",37.788105,-90.422852,1,range_interpolation,207,"W Karsch Blvd",,,Farmington,MO,"St. Francois County",63640,US,"TIGER/Line® dataset from the US Census Bureau"
"426 Yellowstone Dr MO 63640",37.792025,-90.430435,1,range_interpolation,426,"Yellowstone Dr",,,Farmington,MO,"St. Francois County",63640,US,"TIGER/Line® dataset from the US Census Bureau"
"1700 W Columbia St MO 63640",37.771109,-90.446821,1,range_interpolation,1700,"W Columbia St",,,Farmington,MO,"St. Francois County",63640,US,"TIGER/Line® dataset from the US Census Bureau"
"207 W Karsch Blvd MO 63640",37.788105,-90.422852,1,range_interpolation,207,"W Karsch Blvd",,,Farmington,MO,"St. Francois County",63640,US,"TIGER/Line® dataset from the US Census Bureau"
"426 Yellowstone Dr MO 63640",37.792025,-90.430435,1,range_interpolation,426,"Yellowstone Dr",,,Farmington,MO,"St. Francois County",63640,US,"TIGER/Line® dataset from the US Census Bureau"
"100 Old Sugar Creek Rd MO 63026",38.489654,-90.486465,1,rooftop,100,"Old Sugar Creek Rd",,,Fenton,MO,"Jefferson County",63026,US,Jefferson
"1867 Bowles Ave MO 63026",38.540554,-90.470683,1,rooftop,1867,"Bowles Ave",,,Fenton,MO,"St. Louis County",63026,US,"St Louis"
"501 Old Smizer Mill Rd MO 63026",38.515732,-90.450118,1,rooftop,501,"Old Smizer Mill Rd",,,Fenton,MO,"St. Louis County",63026,US,"St Louis"
"100 Old Sugar Creek Rd MO 63026",38.489654,-90.486465,1,rooftop,100,"Old Sugar Creek Rd",,,Fenton,MO,"Jefferson County",63026,US,Jefferson
"1867 Bowles Ave MO 63026",38.540554,-90.470683,1,rooftop,1867,"Bowles Ave",,,Fenton,MO,"St. Louis County",63026,US,"St Louis"
"501 Old Smizer Mill Rd MO 63026",38.515732,-90.450118,1,rooftop,501,"Old Smizer Mill Rd",,,Fenton,MO,"St. Louis County",63026,US,"St Louis"
"1150 E Gannon Dr MO 63028",38.209369,-90.401843,1,range_interpolation,1150,"E Gannon Dr",,,Festus,MO,"Jefferson County",63028,US,"TIGER/Line® dataset from the US Census Bureau"
"515 S Truman Blvd MO 63028",38.215018,-90.387496,0.9,range_interpolation,515,"S Truman Blvd",,,Festus,MO,"Jefferson County",63028,US,"TIGER/Line® dataset from the US Census Bureau"
"650 S Truman Blvd MO 63028",38.212715,-90.390964,1,range_interpolation,650,"S Truman Blvd",,,Festus,MO,"Jefferson County",63028,US,"TIGER/Line® dataset from the US Census Bureau"
"1150 E Gannon Dr MO 63028",38.209369,-90.401843,1,range_interpolation,1150,"E Gannon Dr",,,Festus,MO,"Jefferson County",63028,US,"TIGER/Line® dataset from the US Census Bureau"
"515 S Truman Blvd MO 63028",38.215018,-90.387496,0.9,range_interpolation,515,"S Truman Blvd",,,Festus,MO,"Jefferson County",63028,US,"TIGER/Line® dataset from the US Census Bureau"
"650 S Truman Blvd MO 63028",38.212715,-90.390964,1,range_interpolation,650,"S Truman Blvd",,,Festus,MO,"Jefferson County",63028,US,"TIGER/Line® dataset from the US Census Bureau"
"15 Florissant Oaks Shopping Center MO 63031",38.80053,-90.334494,1,rooftop,15,"Florissant Oaks Shopping Ctr",,,Florissant,MO,"St. Louis County",63031,US,"St Louis"
"1090 Shackelford Rd MO 63031",38.812518,-90.348995,1,rooftop,1090,"Shackelford Rd",,,Florissant,MO,"St. Louis County",63031,US,"St Louis"
"6863 Parker Rd MO 63033",38.796415,-90.231941,1,rooftop,6863,"Parker Rd",,,Florissant,MO,"St. Louis County",63033,US,"St Louis"
"3165 N US Highway 67 MO 63033",38.810795,-90.296937,1,rooftop,3165,"N Highway 67th St",,,Florissant,MO,"St. Louis County",63033,US,"St Louis"
"175 Jamestown Mall MO 63034",38.820639,-90.247118,1,rooftop,175,"Jamestown Mall",,,Florissant,MO,"St. Louis County",63034,US,"St Louis"
"15 Florissant Oaks Shopping Center MO 63031",38.80053,-90.334494,1,rooftop,15,"Florissant Oaks Shopping Ctr",,,Florissant,MO,"St. Louis County",63031,US,"St Louis"
"1090 Shackelford Rd MO 63031",38.812518,-90.348995,1,rooftop,1090,"Shackelford Rd",,,Florissant,MO,"St. Louis County",63031,US,"St Louis"
"6863 Parker Rd MO 63033",38.796415,-90.231941,1,rooftop,6863,"Parker Rd",,,Florissant,MO,"St. Louis County",63033,US,"St Louis"
"3165 N US Highway 67 MO 63033",38.810795,-90.296937,1,rooftop,3165,"N Highway 67th St",,,Florissant,MO,"St. Louis County",63033,US,"St Louis"
"175 Jamestown Mall MO 63034",38.820639,-90.247118,1,rooftop,175,"Jamestown Mall",,,Florissant,MO,"St. Louis County",63034,US,"St Louis"
"12407 Blue Ridge Ext MO 64030",38.900423,-94.532318,1,rooftop,12407,"Blue Ridge Ext",,,Grandview,MO,"Jackson County",64030,US,Jackson
"5100 Harry Truman Dr MO 64030",38.89934,-94.533001,1,range_interpolation,5100,"Harry Truman Dr",,,Grandview,MO,"Jackson County",64030,US,"TIGER/Line® dataset from the US Census Bureau"
"12407 Blue Ridge Ext MO 64030",38.900423,-94.532318,1,rooftop,12407,"Blue Ridge Ext",,,Grandview,MO,"Jackson County",64030,US,Jackson
"5100 Harry Truman Dr MO 64030",38.89934,-94.533001,1,range_interpolation,5100,"Harry Truman Dr",,,Grandview,MO,"Jackson County",64030,US,"TIGER/Line® dataset from the US Census Bureau"
"6266 Howdershell Rd MO 63042",38.783682,-90.379121,1,range_interpolation,6266,"Howdershell Rd",,,Hazelwood,MO,"St. Louis County",63042,US,"TIGER/Line® dataset from the US Census Bureau"
"8700 Pershall Rd MO 63042",38.773852,-90.335811,1,rooftop,8700,"Pershall Rd",,,Hazelwood,MO,"St. Louis County",63042,US,"St Louis"
"7300 N Lindbergh Blvd MO 63042",38.783363,-90.354945,1,rooftop,7300,"N Lindbergh Blvd",,,Hazelwood,MO,"St. Louis County",63042,US,"St Louis"
"6266 Howdershell Rd MO 63042",38.783682,-90.379121,1,range_interpolation,6266,"Howdershell Rd",,,Hazelwood,MO,"St. Louis County",63042,US,"TIGER/Line® dataset from the US Census Bureau"
"8700 Pershall Rd MO 63042",38.773852,-90.335811,1,rooftop,8700,"Pershall Rd",,,Hazelwood,MO,"St. Louis County",63042,US,"St Louis"
"7300 N Lindbergh Blvd MO 63042",38.783363,-90.354945,1,rooftop,7300,"N Lindbergh Blvd",,,Hazelwood,MO,"St. Louis County",63042,US,"St Louis"
"1865 Highway 13 MO 64037",39.063374,-93.74083,0.33,place,,,,,Higginsville,MO,"Lafayette County",64037,US,"TIGER/Line® dataset from the US Census Bureau"
"6676 Hwy 13 MO 64037",39.003561,-93.7351,1,range_interpolation,6676,"S Hwy 13",,,Higginsville,MO,"Lafayette County",64037,US,"TIGER/Line® dataset from the US Census Bureau"
"1865 Highway 13 MO 64037",39.063374,-93.74083,0.33,place,,,,,Higginsville,MO,"Lafayette County",64037,US,"TIGER/Line® dataset from the US Census Bureau"
"6676 Hwy 13 MO 64037",39.003561,-93.7351,1,range_interpolation,6676,"S Hwy 13",,,Higginsville,MO,"Lafayette County",64037,US,"TIGER/Line® dataset from the US Census Bureau"
"11115 E 23rd St S MO 64052",39.079953,-94.446526,1,rooftop,11115,"E 23rd St S",,,Independence,MO,"Jackson County",64052,US,Jackson
"11700 Us 24 MO 64054",39.10251,-94.436803,1,rooftop,11700,"E US 24 Hwy",,,Independence,MO,"Jackson County",64054,US,Jackson
"1401 S Noland Rd MO 64055",39.075207,-94.413669,1,rooftop,1401,"S Noland Rd",,,Independence,MO,"Jackson County",64055,US,Jackson
"1115 E 23rd St S MO 64055",39.07853,-94.401387,1,range_interpolation,1115,"E 23rd St S",,,Independence,MO,"Jackson County",64055,US,"TIGER/Line® dataset from the US Census Bureau"
"11801 E Us-40 MO 64055",39.045738,-94.441074,0.85,rooftop,11801,"E US 40 Hwy",,,Independence,MO,"Jackson County",64052,US,"City of Kansas City"
"16802 Gudgell Rd MO 64055",39.071981,-94.379692,1,range_interpolation,16802,"Gudgell Rd",,,Independence,MO,"Jackson County",64055,US,"TIGER/Line® dataset from the US Census Bureau"
"4226 S Noland Rd MO 64055",39.043189,-94.415641,1,rooftop,4226,"S Noland Rd",,,Independence,MO,"Jackson County",64055,US,Jackson
"18910 Us 40 MO 64055",39.032112,-94.356519,1,rooftop,18910,"E US 40 Hwy",,,Independence,MO,"Jackson County",64055,US,Jackson
"4000 Bolger Rd MO 64055",39.052247,-94.372511,1,range_interpolation,4000,"Bolger Rd",,,Independence,MO,"Jackson County",64055,US,"TIGER/Line® dataset from the US Census Bureau"
"3921 Bolger Rd MO 64055",39.047472,-94.365653,0.9,rooftop,3921,"S Bolger Rd",,,Independence,MO,"Jackson County",64055,US,Jackson
"16235 Us 24 E MO 64056",39.117277,-94.382659,1,rooftop,16235,"E US 24 Hwy",,,Independence,MO,"Jackson County",64056,US,Jackson
"11115 E 23rd St S MO 64052",39.079953,-94.446526,1,rooftop,11115,"E 23rd St S",,,Independence,MO,"Jackson County",64052,US,Jackson
"11700 Us 24 MO 64054",39.10251,-94.436803,1,rooftop,11700,"E US 24 Hwy",,,Independence,MO,"Jackson County",64054,US,Jackson
"1401 S Noland Rd MO 64055",39.075207,-94.413669,1,rooftop,1401,"S Noland Rd",,,Independence,MO,"Jackson County",64055,US,Jackson
"1115 E 23rd St S MO 64055",39.07853,-94.401387,1,range_interpolation,1115,"E 23rd St S",,,Independence,MO,"Jackson County",64055,US,"TIGER/Line® dataset from the US Census Bureau"
"11801 E Us-40 MO 64055",39.045738,-94.441074,0.85,rooftop,11801,"E US 40 Hwy",,,Independence,MO,"Jackson County",64052,US,"City of Kansas City"
"16802 Gudgell Rd MO 64055",39.071981,-94.379692,1,range_interpolation,16802,"Gudgell Rd",,,Independence,MO,"Jackson County",64055,US,"TIGER/Line® dataset from the US Census Bureau"
"4226 S Noland Rd MO 64055",39.043189,-94.415641,1,rooftop,4226,"S Noland Rd",,,Independence,MO,"Jackson County",64055,US,Jackson
"18910 Us 40 MO 64055",39.032112,-94.356519,1,rooftop,18910,"E US 40 Hwy",,,Independence,MO,"Jackson County",64055,US,Jackson
"4000 Bolger Rd MO 64055",39.052247,-94.372511,1,range_interpolation,4000,"Bolger Rd",,,Independence,MO,"Jackson County",64055,US,"TIGER/Line® dataset from the US Census Bureau"
"3921 Bolger Rd MO 64055",39.047472,-94.365653,0.9,rooftop,3921,"S Bolger Rd",,,Independence,MO,"Jackson County",64055,US,Jackson
"16235 Us 24 E MO 64056",39.117277,-94.382659,1,rooftop,16235,"E US 24 Hwy",,,Independence,MO,"Jackson County",64056,US,Jackson
"815 Eastland Dr MO 65101",38.54953,-92.149665,1,rooftop,815,"Eastland Dr",,,"Jefferson City",MO,"Cole County",65101,US,Cole
"219 E Dunklin St MO 65101",38.57163,-92.174964,1,rooftop,219,"E Dunklin St",,,"Jefferson City",MO,"Cole County",65101,US,Cole
"1406 Missouri Blvd MO 65109",38.579288,-92.193426,1,rooftop,1406,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"1918 Jefferson St MO 65109",38.553186,-92.199536,1,rooftop,1918,"Jefferson St",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"3124 S 10 Mile Dr MO 65109",38.580579,-92.235171,1,rooftop,3124,"S 10 Mile Dr",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"1425 Missouri Blvd MO 65109",38.579114,-92.195151,1,rooftop,1425,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"724 W Stadium Blvd MO 65109",38.580086,-92.219292,1,rooftop,724,"W Stadium Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"2003 Southridge Dr MO 65109",38.550733,-92.205236,1,rooftop,2003,"Southridge Dr",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"815 Eastland Dr MO 65101",38.54953,-92.149665,1,rooftop,815,"Eastland Dr",,,"Jefferson City",MO,"Cole County",65101,US,Cole
"219 E Dunklin St MO 65101",38.57163,-92.174964,1,rooftop,219,"E Dunklin St",,,"Jefferson City",MO,"Cole County",65101,US,Cole
"1406 Missouri Blvd MO 65109",38.579288,-92.193426,1,rooftop,1406,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"1918 Jefferson St MO 65109",38.553186,-92.199536,1,rooftop,1918,"Jefferson St",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"3124 S 10 Mile Dr MO 65109",38.580579,-92.235171,1,rooftop,3124,"S 10 Mile Dr",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"1425 Missouri Blvd MO 65109",38.579114,-92.195151,1,rooftop,1425,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"724 W Stadium Blvd MO 65109",38.580086,-92.219292,1,rooftop,724,"W Stadium Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"2003 Southridge Dr MO 65109",38.550733,-92.205236,1,rooftop,2003,"Southridge Dr",,,"Jefferson City",MO,"Cole County",65109,US,Cole
