location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2535 N Kansas Expy MO 65803",37.243612,-93.312125,1,rooftop,2535,"N Kansas Expy",,,Springfield,MO,"Greene County",65803,US,Greene
"1949 E Sunshine St MO 65804",37.182752,-93.259027,1,rooftop,1949,"E Sunshine St",,,Springfield,MO,"Greene County",65804,US,Greene
"2040 W Vista St MO 65807",37.165221,-93.320609,1,rooftop,2040,"W Vista St",,,Springfield,MO,"Greene County",65807,US,Greene
"1570 W Battlefield St MO 65807",37.159966,-93.3121,1,range_interpolation,1570,"W Battlefield St",,,Springfield,MO,"Greene County",65807,US,"TIGER/Line® dataset from the US Census Bureau"
"2924 W Sunshine St MO 65807",37.182568,-93.336477,1,range_interpolation,2924,"W Sunshine St",,,Springfield,MO,"Greene County",65807,US,"TIGER/Line® dataset from the US Census Bureau"
"3837 S Campbell Ave MO 65807",37.144298,-93.297069,1,rooftop,3837,"S Campbell Ave",,,Springfield,MO,"Greene County",65807,US,Greene
"4100 South Campbell Avenue MO 65807",37.140003,-93.295309,1,rooftop,4100,"S Campbell Ave",,,Springfield,MO,"Greene County",65807,US,Greene
"2740 S Austin Ave MO 65807",37.164815,-93.323257,1,rooftop,2740,"S Austin Ave",,,Springfield,MO,"Greene County",65807,US,Greene
"201 Northwest Plz MO 63074",38.732312,-90.403933,1,range_interpolation,201,"Northwest Plz",,,"Saint Ann",MO,"St. Louis County",63074,US,"TIGER/Line® dataset from the US Census Bureau"
"201 Northwest Plz MO 63074",38.732312,-90.403933,1,range_interpolation,201,"Northwest Plz",,,"Saint Ann",MO,"St. Louis County",63074,US,"TIGER/Line® dataset from the US Census Bureau"
"201 Northwest Plz MO 63074",38.732312,-90.403933,1,range_interpolation,201,"Northwest Plz",,,"Saint Ann",MO,"St. Louis County",63074,US,"TIGER/Line® dataset from the US Census Bureau"
"201 Northwest Plz MO 63074",38.732312,-90.403933,1,range_interpolation,201,"Northwest Plz",,,"Saint Ann",MO,"St. Louis County",63074,US,"TIGER/Line® dataset from the US Census Bureau"
"2079 Zumbehl Road MO 63303",38.783983,-90.535699,1,rooftop,2079,"Zumbehl Rd",,,"Saint Charles",MO,"St. Charles County",63303,US,"St Charles"
"6185 Mid Rivers Mall Dr MO 63304",38.742399,-90.634926,1,rooftop,6185,"Mid Rivers Mall Dr",,,"Saint Peters",MO,"St. Charles County",63304,US,"St Charles"
"2079 Zumbehl Road MO 63303",38.783983,-90.535699,1,rooftop,2079,"Zumbehl Rd",,,"Saint Charles",MO,"St. Charles County",63303,US,"St Charles"
"6185 Mid Rivers Mall Dr MO 63304",38.742399,-90.634926,1,rooftop,6185,"Mid Rivers Mall Dr",,,"Saint Peters",MO,"St. Charles County",63304,US,"St Charles"
"116 N 6th St MO 63101",38.626338,-90.190806,1,range_interpolation,116,"N 6th St",,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"2018 S 7th Street MO 63104",38.606611,-90.202624,1,range_interpolation,2018,"S 7th St",,,"Saint Louis",MO,"St. Louis city",63104,US,"TIGER/Line® dataset from the US Census Bureau"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"4561 Forest Park Ave MO 63108",38.639194,-90.261171,1,rooftop,4561,"Forest Park Ave",,,"Saint Louis",MO,"St. Louis city",63108,US,"City of St Louis"
"4651 Maryland Ave MO 63108",38.645055,-90.26099,1,rooftop,4651,"Maryland Ave",,,"Saint Louis",MO,"St. Louis city",63108,US,"City of St Louis"
"6607 Chippewa St MO 63109",38.591253,-90.305201,1,rooftop,6607,"Chippewa St",,,"Saint Louis",MO,"St. Louis city",63109,US,"City of St Louis"
"1008 Loughborough Avenue MO 63111",38.556442,-90.26255,1,rooftop,1008,"Loughborough Ave",,,"Saint Louis",MO,"St. Louis city",63111,US,"City of St Louis"
"6710 Clayton Rd MO 63117",38.634371,-90.317151,1,rooftop,6710,"Clayton Rd",,,"Saint Louis",MO,"St. Louis County",63117,US,"St Louis"
"St Louis Galleria MO 63117",38.629452,-90.334215,1,place,,,,,"Saint Louis",MO,"St. Louis County",63117,US,"TIGER/Line® dataset from the US Census Bureau"
"6701 Clayton Rd MO 63117",38.634821,-90.316469,1,rooftop,6701,"Clayton Rd",,,"Saint Louis",MO,"St. Louis County",63117,US,"St Louis"
"St Louis Galleria MO 63117",38.629452,-90.334215,1,place,,,,,"Saint Louis",MO,"St. Louis County",63117,US,"TIGER/Line® dataset from the US Census Bureau"
"1445 Saint Louis Galleria MO 63117",38.635477,-90.348481,1,rooftop,1445,"St Louis Galleria St",,,"Saint Louis",MO,"St. Louis County",63117,US,"St Louis"
"3114 S Grand Blvd MO 63118",38.602036,-90.24196,1,rooftop,3114,"S Grand Blvd",,,"Saint Louis",MO,"St. Louis city",63118,US,"City of St Louis"
"21 Allen Ave MO 63119",38.593589,-90.361538,1,rooftop,21,"Allen Ave",,,"Saint Louis",MO,"St. Louis County",63119,US,"St Louis"
"21 Allen Ave MO 63119",38.593589,-90.361538,1,rooftop,21,"Allen Ave",,,"Saint Louis",MO,"St. Louis County",63119,US,"St Louis"
"99 Grasso Plz MO 63123",38.551037,-90.335769,1,rooftop,99,"Grasso Plz",,,"Saint Louis",MO,"St. Louis County",63123,US,"St Louis"
"99 Grasso Plz MO 63123",38.551037,-90.335769,1,rooftop,99,"Grasso Plz",,,"Saint Louis",MO,"St. Louis County",63123,US,"St Louis"
"Grasso Plaza MO 63123",38.551529,-90.334743,1,street_center,,"Grasso Plz",,,"Saint Louis",MO,"St. Louis County",63123,US,"TIGER/Line® dataset from the US Census Bureau"
"10740 Sunset Hills Plz MO 63127",38.554007,-90.407808,1,rooftop,10740,"Sunset Hills Plz",,,"Saint Louis",MO,"St. Louis County",63127,US,"St Louis"
"3630 S Geyer Rd MO 63127",38.553834,-90.414117,1,rooftop,3630,"S Geyer Rd",,,"Saint Louis",MO,"St. Louis County",63127,US,"St Louis"
"Sunset Hills Plaza MO 63127",38.554472,-90.408252,1,street_center,,"Sunset Hills Plz",,,"Saint Louis",MO,"St. Louis County",63127,US,"TIGER/Line® dataset from the US Census Bureau"
"9922 Kennerly Rd MO 63128",38.50715,-90.37635,1,rooftop,9922,"Kennerly Rd",,,"Saint Louis",MO,"St. Louis County",63128,US,"St Louis"
"9922 Kennerly Rd MO 63128",38.50715,-90.37635,1,rooftop,9922,"Kennerly Rd",,,"Saint Louis",MO,"St. Louis County",63128,US,"St Louis"
"5696 Telegraph Rd MO 63129",38.466301,-90.304601,1,rooftop,5696,"Telegraph Rd",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"130 S County Center Way MO 63129",38.504342,-90.329399,1,rooftop,130,"S County Center Way",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"5696 Telegraph Rd MO 63129",38.466301,-90.304601,1,rooftop,5696,"Telegraph Rd",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"130 S County Center Way MO 63129",38.504342,-90.329399,1,rooftop,130,"S County Center Way",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"13275 Manchester Road MO 63131",38.602346,-90.465746,1,rooftop,13275,"Manchester Rd",,,"Saint Louis",MO,"St. Louis County",63131,US,"St Louis"
"10550 Old Olive Street Road MO 63141",38.675022,-90.41205,1,rooftop,10550,"Old Olive Street Rd",,,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis"
"1909 S Brentwood Blvd MO 63144",38.624614,-90.348068,1,rooftop,1909,"S Brentwood Blvd",,,"Saint Louis",MO,"St. Louis County",63144,US,"St Louis"
"1909 S Brentwood Blvd MO 63144",38.624614,-90.348068,1,rooftop,1909,"S Brentwood Blvd",,,"Saint Louis",MO,"St. Louis County",63144,US,"St Louis"
"147 Westport Plz MO 63146",38.7018,-90.44654,0.7,rooftop,147,"W Port Plaza Dr",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis"
"116 N 6th St MO 63101",38.626338,-90.190806,1,range_interpolation,116,"N 6th St",,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"2018 S 7th Street MO 63104",38.606611,-90.202624,1,range_interpolation,2018,"S 7th St",,,"Saint Louis",MO,"St. Louis city",63104,US,"TIGER/Line® dataset from the US Census Bureau"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"10 S Central Ave MO 63105",38.64987,-90.33793,1,rooftop,10,"S Central Ave",,,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis"
"4561 Forest Park Ave MO 63108",38.639194,-90.261171,1,rooftop,4561,"Forest Park Ave",,,"Saint Louis",MO,"St. Louis city",63108,US,"City of St Louis"
"4651 Maryland Ave MO 63108",38.645055,-90.26099,1,rooftop,4651,"Maryland Ave",,,"Saint Louis",MO,"St. Louis city",63108,US,"City of St Louis"
"6607 Chippewa St MO 63109",38.591253,-90.305201,1,rooftop,6607,"Chippewa St",,,"Saint Louis",MO,"St. Louis city",63109,US,"City of St Louis"
"1008 Loughborough Avenue MO 63111",38.556442,-90.26255,1,rooftop,1008,"Loughborough Ave",,,"Saint Louis",MO,"St. Louis city",63111,US,"City of St Louis"
"6710 Clayton Rd MO 63117",38.634371,-90.317151,1,rooftop,6710,"Clayton Rd",,,"Saint Louis",MO,"St. Louis County",63117,US,"St Louis"
"St Louis Galleria MO 63117",38.629452,-90.334215,1,place,,,,,"Saint Louis",MO,"St. Louis County",63117,US,"TIGER/Line® dataset from the US Census Bureau"
"6701 Clayton Rd MO 63117",38.634821,-90.316469,1,rooftop,6701,"Clayton Rd",,,"Saint Louis",MO,"St. Louis County",63117,US,"St Louis"
"St Louis Galleria MO 63117",38.629452,-90.334215,1,place,,,,,"Saint Louis",MO,"St. Louis County",63117,US,"TIGER/Line® dataset from the US Census Bureau"
"1445 Saint Louis Galleria MO 63117",38.635477,-90.348481,1,rooftop,1445,"St Louis Galleria St",,,"Saint Louis",MO,"St. Louis County",63117,US,"St Louis"
"3114 S Grand Blvd MO 63118",38.602036,-90.24196,1,rooftop,3114,"S Grand Blvd",,,"Saint Louis",MO,"St. Louis city",63118,US,"City of St Louis"
"21 Allen Ave MO 63119",38.593589,-90.361538,1,rooftop,21,"Allen Ave",,,"Saint Louis",MO,"St. Louis County",63119,US,"St Louis"
"21 Allen Ave MO 63119",38.593589,-90.361538,1,rooftop,21,"Allen Ave",,,"Saint Louis",MO,"St. Louis County",63119,US,"St Louis"
"99 Grasso Plz MO 63123",38.551037,-90.335769,1,rooftop,99,"Grasso Plz",,,"Saint Louis",MO,"St. Louis County",63123,US,"St Louis"
"99 Grasso Plz MO 63123",38.551037,-90.335769,1,rooftop,99,"Grasso Plz",,,"Saint Louis",MO,"St. Louis County",63123,US,"St Louis"
"Grasso Plaza MO 63123",38.551529,-90.334743,1,street_center,,"Grasso Plz",,,"Saint Louis",MO,"St. Louis County",63123,US,"TIGER/Line® dataset from the US Census Bureau"
"10740 Sunset Hills Plz MO 63127",38.554007,-90.407808,1,rooftop,10740,"Sunset Hills Plz",,,"Saint Louis",MO,"St. Louis County",63127,US,"St Louis"
"3630 S Geyer Rd MO 63127",38.553834,-90.414117,1,rooftop,3630,"S Geyer Rd",,,"Saint Louis",MO,"St. Louis County",63127,US,"St Louis"
"Sunset Hills Plaza MO 63127",38.554472,-90.408252,1,street_center,,"Sunset Hills Plz",,,"Saint Louis",MO,"St. Louis County",63127,US,"TIGER/Line® dataset from the US Census Bureau"
"9922 Kennerly Rd MO 63128",38.50715,-90.37635,1,rooftop,9922,"Kennerly Rd",,,"Saint Louis",MO,"St. Louis County",63128,US,"St Louis"
"9922 Kennerly Rd MO 63128",38.50715,-90.37635,1,rooftop,9922,"Kennerly Rd",,,"Saint Louis",MO,"St. Louis County",63128,US,"St Louis"
"5696 Telegraph Rd MO 63129",38.466301,-90.304601,1,rooftop,5696,"Telegraph Rd",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"130 S County Center Way MO 63129",38.504342,-90.329399,1,rooftop,130,"S County Center Way",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"5696 Telegraph Rd MO 63129",38.466301,-90.304601,1,rooftop,5696,"Telegraph Rd",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"130 S County Center Way MO 63129",38.504342,-90.329399,1,rooftop,130,"S County Center Way",,,"Saint Louis",MO,"St. Louis County",63129,US,"St Louis"
"13275 Manchester Road MO 63131",38.602346,-90.465746,1,rooftop,13275,"Manchester Rd",,,"Saint Louis",MO,"St. Louis County",63131,US,"St Louis"
"10550 Old Olive Street Road MO 63141",38.675022,-90.41205,1,rooftop,10550,"Old Olive Street Rd",,,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis"
"1909 S Brentwood Blvd MO 63144",38.624614,-90.348068,1,rooftop,1909,"S Brentwood Blvd",,,"Saint Louis",MO,"St. Louis County",63144,US,"St Louis"
"1909 S Brentwood Blvd MO 63144",38.624614,-90.348068,1,rooftop,1909,"S Brentwood Blvd",,,"Saint Louis",MO,"St. Louis County",63144,US,"St Louis"
"147 Westport Plz MO 63146",38.7018,-90.44654,0.7,rooftop,147,"W Port Plaza Dr",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis"
"290 Mid Rivers Mall Drive MO 63376",38.793643,-90.622987,1,range_interpolation,290,"Mid Rivers Mall Dr",,,"Saint Peters",MO,"St. Charles County",63376,US,"TIGER/Line® dataset from the US Census Bureau"
"290 Mid Rivers Mall Drive MO 63376",38.793643,-90.622987,1,range_interpolation,290,"Mid Rivers Mall Dr",,,"Saint Peters",MO,"St. Charles County",63376,US,"TIGER/Line® dataset from the US Census Bureau"
"290 Mid Rivers Mall Drive MO 63376",38.793643,-90.622987,1,range_interpolation,290,"Mid Rivers Mall Dr",,,"Saint Peters",MO,"St. Charles County",63376,US,"TIGER/Line® dataset from the US Census Bureau"
"290 Mid Rivers Mall Drive MO 63376",38.793643,-90.622987,1,range_interpolation,290,"Mid Rivers Mall Dr",,,"Saint Peters",MO,"St. Charles County",63376,US,"TIGER/Line® dataset from the US Census Bureau"
"5 W Rand Rd IL 60004",42.112531,-87.981668,1,rooftop,5,"W Rand Rd",,,"Arlington Heights",IL,"Cook County",60004,US,Cook
"1734 W Algonquin Rd IL 60005",42.175841,-88.322258,0.9,range_interpolation,1734,"W Algonquin Rd",,,Algonquin,IL,"McHenry County",60102,US,"TIGER/Line® dataset from the US Census Bureau"
"31 S Evergreen Ave IL 60005",42.082288,-87.980995,1,rooftop,31,"S Evergreen Ave",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"1736 W Algonquin Rd IL 60005",42.057748,-88.005353,1,rooftop,1736,"W Algonquin Rd",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"5 W Rand Rd IL 60004",42.112531,-87.981668,1,rooftop,5,"W Rand Rd",,,"Arlington Heights",IL,"Cook County",60004,US,Cook
"1734 W Algonquin Rd IL 60005",42.175841,-88.322258,0.9,range_interpolation,1734,"W Algonquin Rd",,,Algonquin,IL,"McHenry County",60102,US,"TIGER/Line® dataset from the US Census Bureau"
"31 S Evergreen Ave IL 60005",42.082288,-87.980995,1,rooftop,31,"S Evergreen Ave",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"1736 W Algonquin Rd IL 60005",42.057748,-88.005353,1,rooftop,1736,"W Algonquin Rd",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"2987 Kirk Road IL 60502",41.816726,-88.27881,1,rooftop,2987,"Kirk Rd",,,Aurora,IL,"Kane County",60502,US,"City of Aurora"
"1304 Fox Valley Center IL 60504",41.75865,-88.214209,0.87,rooftop,1304,"Fox Valley Center Dr",,,Aurora,IL,"DuPage County",60504,US,"City of Aurora"
"195 Fox Valley Ctr IL 60504",41.759739,-88.2148,1,rooftop,195,"Fox Valley Ctr",,,Aurora,IL,"DuPage County",60504,US,Dupage
"740 N Route 59 IL 60504",41.765878,-88.206568,1,rooftop,740,"N Route 59",,,Aurora,IL,"DuPage County",60504,US,Dupage
"1330 Orchard Rd IL 60506",41.783506,-88.376268,0.9,rooftop,1330,"N Orchard Rd",,,Aurora,IL,"Kane County",60506,US,Kane
"2987 Kirk Road IL 60502",41.816726,-88.27881,1,rooftop,2987,"Kirk Rd",,,Aurora,IL,"Kane County",60502,US,"City of Aurora"
"1304 Fox Valley Center IL 60504",41.75865,-88.214209,0.87,rooftop,1304,"Fox Valley Center Dr",,,Aurora,IL,"DuPage County",60504,US,"City of Aurora"
"195 Fox Valley Ctr IL 60504",41.759739,-88.2148,1,rooftop,195,"Fox Valley Ctr",,,Aurora,IL,"DuPage County",60504,US,Dupage
"740 N Route 59 IL 60504",41.765878,-88.206568,1,rooftop,740,"N Route 59",,,Aurora,IL,"DuPage County",60504,US,Dupage
"1330 Orchard Rd IL 60506",41.783506,-88.376268,0.9,rooftop,1330,"N Orchard Rd",,,Aurora,IL,"Kane County",60506,US,Kane
"370 W Army Trail Rd IL 60108",41.939131,-88.113252,1,range_interpolation,370,"W Army Trail Rd",,,Bloomingdale,IL,"DuPage County",60108,US,"TIGER/Line® dataset from the US Census Bureau"
"905 Stratford Square Mall IL 60108",41.950022,-88.091865,0.33,place,,,,,Bloomingdale,IL,"DuPage County",60108,US,"TIGER/Line® dataset from the US Census Bureau"
"370 W Army Trail Rd IL 60108",41.939131,-88.113252,1,range_interpolation,370,"W Army Trail Rd",,,Bloomingdale,IL,"DuPage County",60108,US,"TIGER/Line® dataset from the US Census Bureau"
"905 Stratford Square Mall IL 60108",41.950022,-88.091865,0.33,place,,,,,Bloomingdale,IL,"DuPage County",60108,US,"TIGER/Line® dataset from the US Census Bureau"
"1401 S Veterans Pkwy IL 61701",40.4604,-88.967461,1,rooftop,1401,"S Veterans Pkwy",,,Bloomington,IL,"McLean County",61701,US,Mclean
"1401 N Veterans Pkwy IL 61701",40.4604,-88.967461,1,rooftop,1401,"S Veterans Pkwy",,,Bloomington,IL,"McLean County",61701,US,Mclean
"1401 S Veterans Pkwy IL 61701",40.4604,-88.967461,1,rooftop,1401,"S Veterans Pkwy",,,Bloomington,IL,"McLean County",61701,US,Mclean
"1401 N Veterans Pkwy IL 61701",40.4604,-88.967461,1,rooftop,1401,"S Veterans Pkwy",,,Bloomington,IL,"McLean County",61701,US,Mclean
"714 E Boughton Rd IL 60440",41.724803,-88.037525,1,rooftop,714,"E Boughton Rd",,,Bolingbrook,IL,"Will County",60440,US,Will
"1196 W Boughton Rd IL 60440",41.70493,-88.123183,1,rooftop,1196,"W Boughton Rd",,,Bolingbrook,IL,"Will County",60440,US,Will
"714 E Boughton Rd IL 60440",41.724803,-88.037525,1,rooftop,714,"E Boughton Rd",,,Bolingbrook,IL,"Will County",60440,US,Will
