location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1169 Mchenry Rd IL 60089",42.174053,-87.982974,1,rooftop,1169,"McHenry Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,Lake
"245 Mchenry Rd IL 60089",42.157088,-87.959171,1,rooftop,245,"McHenry Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,Lake
"[100-130] Weiland Rd IL 60089",42.155827,-87.95443,1,range_interpolation,100,"Weiland Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,"TIGER/Line® dataset from the US Census Bureau"
"1697 Weiland Rd IL 60089",42.181787,-87.948157,1,rooftop,1697,"Weiland Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,Lake
"1169 Mchenry Rd IL 60089",42.174053,-87.982974,1,rooftop,1169,"McHenry Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,Lake
"245 Mchenry Rd IL 60089",42.157088,-87.959171,1,rooftop,245,"McHenry Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,Lake
"[100-130] Weiland Rd IL 60089",42.155827,-87.95443,1,range_interpolation,100,"Weiland Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,"TIGER/Line® dataset from the US Census Bureau"
"533 Torrence Ave IL 60409",41.62067,-87.558729,1,rooftop,533,"Torrence Ave",,,"Calumet City",IL,"Cook County",60409,US,Cook
"664 River Oaks Dr IL 60409",41.600414,-87.541463,1,rooftop,664,"River Oaks Dr",,,"Calumet City",IL,"Cook County",60409,US,Cook
"533 Torrence Ave IL 60409",41.62067,-87.558729,1,rooftop,533,"Torrence Ave",,,"Calumet City",IL,"Cook County",60409,US,Cook
"664 River Oaks Dr IL 60409",41.600414,-87.541463,1,rooftop,664,"River Oaks Dr",,,"Calumet City",IL,"Cook County",60409,US,Cook
"317 South Schmale Road IL 60188",41.896884,-88.101831,1,range_interpolation,317,"S Schmale Rd",,,"Carol Stream",IL,"DuPage County",60188,US,"TIGER/Line® dataset from the US Census Bureau"
"242 W Army Trail Rd IL 60188",41.939422,-88.130195,1,range_interpolation,242,"W Army Trail Rd",,,"Carol Stream",IL,"DuPage County",60188,US,"TIGER/Line® dataset from the US Census Bureau"
"106 East North Avenue IL 60188",41.902162,-88.093674,0.9,range_interpolation,106,"E North Ave",,,"Carol Stream",IL,"DuPage County",60188,US,"TIGER/Line® dataset from the US Census Bureau"
"880 W Army Trail Rd IL 60188",41.94025,-88.150993,0.88,nearest_rooftop_match,870,"W Army Trail Rd",,,"Carol Stream",IL,"DuPage County",60188,US,Dupage
"317 South Schmale Road IL 60188",41.896884,-88.101831,1,range_interpolation,317,"S Schmale Rd",,,"Carol Stream",IL,"DuPage County",60188,US,"TIGER/Line® dataset from the US Census Bureau"
"242 W Army Trail Rd IL 60188",41.939422,-88.130195,1,range_interpolation,242,"W Army Trail Rd",,,"Carol Stream",IL,"DuPage County",60188,US,"TIGER/Line® dataset from the US Census Bureau"
"106 East North Avenue IL 60188",41.902162,-88.093674,0.9,range_interpolation,106,"E North Ave",,,"Carol Stream",IL,"DuPage County",60188,US,"TIGER/Line® dataset from the US Census Bureau"
"880 W Army Trail Rd IL 60188",41.94025,-88.150993,0.88,nearest_rooftop_match,870,"W Army Trail Rd",,,"Carol Stream",IL,"DuPage County",60188,US,Dupage
"607 East Green Street IL 61820",40.110173,-88.23,1,rooftop,607,"E Green St",,,Champaign,IL,"Champaign County",61820,US,Champaign
"607 East Green Street IL 61820",40.110173,-88.23,1,rooftop,607,"E Green St",,,Champaign,IL,"Champaign County",61820,US,Champaign
"515 S Neil St IL 61820",40.110494,-88.243905,1,rooftop,515,"S Neil St",,,Champaign,IL,"Champaign County",61820,US,Champaign
"1302 North Prospect Avenue IL 61820",40.128672,-88.2574,1,rooftop,1302,"N Prospect Ave",,,Champaign,IL,"Champaign County",61820,US,Champaign
"1302 North Prospect Avenue IL 61820",40.128672,-88.2574,1,rooftop,1302,"N Prospect Ave",,,Champaign,IL,"Champaign County",61820,US,Champaign
"607 East Green Street IL 61820",40.110173,-88.23,1,rooftop,607,"E Green St",,,Champaign,IL,"Champaign County",61820,US,Champaign
"607 East Green Street IL 61820",40.110173,-88.23,1,rooftop,607,"E Green St",,,Champaign,IL,"Champaign County",61820,US,Champaign
"515 S Neil St IL 61820",40.110494,-88.243905,1,rooftop,515,"S Neil St",,,Champaign,IL,"Champaign County",61820,US,Champaign
"1302 North Prospect Avenue IL 61820",40.128672,-88.2574,1,rooftop,1302,"N Prospect Ave",,,Champaign,IL,"Champaign County",61820,US,Champaign
"1302 North Prospect Avenue IL 61820",40.128672,-88.2574,1,rooftop,1302,"N Prospect Ave",,,Champaign,IL,"Champaign County",61820,US,Champaign
"27 E Lake St IL 60601",41.885601,-87.627013,1,range_interpolation,27,"E Lake St",,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"203 N La Salle St IL 60601",41.88606,-87.631681,1,rooftop,203,"N La Salle St",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"201 N Clark St IL 60601",41.886061,-87.63069,1,rooftop,201,"N Clark St",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"201 N State St IL 60601",41.885598,-87.627939,1,range_interpolation,201,"N State St",,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W Randolph St IL 60601",41.884843,-87.631981,1,rooftop,100,"W Randolph St",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"300 E Randolph St IL 60601",41.884839,-87.619893,1,rooftop,300,"E Randolph St",,,Chicago,IL,"Cook County",60601,US,Cook
"303 E Wacker Dr IL 60601",41.88687,-87.61479,1,rooftop,303,"E Wacker Dr",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"233 N Michigan Ave IL 60601",41.887121,-87.623273,1,rooftop,233,"N Michigan Ave",,,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"75 E Washington St IL 60602",41.883073,-87.625214,1,range_interpolation,75,"E Washington St",,,Chicago,IL,"Cook County",60602,US,"TIGER/Line® dataset from the US Census Bureau"
"166 W Washington St IL 60602",41.883464,-87.633055,1,rooftop,166,"W Washington St",,,Chicago,IL,"Cook County",60602,US,"City of Chicago"
"6 N Wabash Ave IL 60602",41.882239,-87.626367,1,range_interpolation,6,"N Wabash Ave",,,Chicago,IL,"Cook County",60602,US,"TIGER/Line® dataset from the US Census Bureau"
"31 E Adams St IL 60603",41.879347,-87.627144,1,range_interpolation,31,"E Adams St",,,Chicago,IL,"Cook County",60603,US,"TIGER/Line® dataset from the US Census Bureau"
"333 S State St IL 60604",41.877495,-87.627218,1,rooftop,333,"S State St",,,Chicago,IL,"Cook County",60604,US,"City of Chicago"
"230 S State St IL 60604",41.878735,-87.627842,1,range_interpolation,230,"S State St",,,Chicago,IL,"Cook County",60604,US,"TIGER/Line® dataset from the US Census Bureau"
"62 E Jackson Blvd IL 60604",41.878405,-87.625672,1,range_interpolation,62,"E Jackson Blvd",,,Chicago,IL,"Cook County",60604,US,"TIGER/Line® dataset from the US Census Bureau"
"77 W Jackson Blvd IL 60604",41.8776,-87.630419,1,rooftop,77,"W Jackson Blvd",,,Chicago,IL,"Cook County",60604,US,"City of Chicago"
"1575 S Michigan Ave IL 60605",41.860838,-87.623854,1,range_interpolation,1575,"S Michigan Ave",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
"406 S Michigan Ave IL 60605",41.876756,-87.624851,1,rooftop,406,"S Michigan Ave",,,Chicago,IL,"Cook County",60605,US,Cook
"600 S Wabash Ave IL 60605",41.874265,-87.626369,1,rooftop,600,"S Wabash Ave",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"439 S Dearborn St IL 60605",41.875931,-87.628972,1,rooftop,439,"S Dearborn St",,,Chicago,IL,"Cook County",60605,US,Cook
"171 W Van Buren St IL 60605",41.876665,-87.633226,1,rooftop,171,"W Van Buren St",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"1231 S Wabash Ave IL 60605",41.8669,-87.625307,1,rooftop,1231,"S Wabash Ave",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"205 W Randolph St IL 60606",41.884231,-87.634156,1,rooftop,205,"W Randolph St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"220 W Washington St IL 60606",41.88337,-87.634877,1,rooftop,220,"W Washington St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"215 W Lake St IL 60606",41.885378,-87.634625,1,rooftop,215,"W Lake St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"2 N Riverside Plz IL 60606",41.882379,-87.639487,1,rooftop,2,"N Riverside Plz",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"201 W Madison St IL 60606",41.8816,-87.634113,1,rooftop,201,"W Madison St",,,Chicago,IL,"Cook County",60606,US,Cook
"229 W Jackson Blvd IL 60606",41.877894,-87.634818,1,rooftop,229,"W Jackson Blvd",,,Chicago,IL,"Cook County",60606,US,Cook
"1121 S Jefferson St IL 60607",41.868512,-87.641645,1,rooftop,1121,"S Jefferson St",,,Chicago,IL,"Cook County",60607,US,Cook
"1015 West Lake Street IL 60607",41.885337,-87.652769,1,rooftop,1015,"W Lake St",,,Chicago,IL,"Cook County",60607,US,"City of Chicago"
"901 W Washington Blvd IL 60607",41.882856,-87.650318,1,rooftop,901,"W Washington Blvd",,,Chicago,IL,"Cook County",60607,US,"City of Chicago"
"500 W Roosevelt Rd IL 60607",41.867711,-87.63959,1,rooftop,500,"W Roosevelt Rd",,,Chicago,IL,"Cook County",60607,US,Cook
"1710 W 18th St IL 60608",41.85802,-87.669213,1,rooftop,1710,"W 18th St",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
"2356 W Cermak Rd IL 60608",41.852337,-87.685251,1,rooftop,2356,"W Cermak Rd",,,Chicago,IL,"Cook County",60608,US,Cook
"2401 W Ogden Ave IL 60608",41.864264,-87.686243,1,rooftop,2401,"W Ogden Ave",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
"1651 W Roosevelt Rd IL 60608",41.866702,-87.66751,1,range_interpolation,1651,"W Roosevelt Rd",,,Chicago,IL,"Cook County",60608,US,"TIGER/Line® dataset from the US Census Bureau"
"3100 S Halsted St IL 60608",41.837924,-87.646646,1,rooftop,3100,"S Halsted St",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
"2340 W 52nd St IL 60609",41.799059,-87.682216,1,rooftop,2340,"W 52nd St",,,Chicago,IL,"Cook County",60609,US,"City of Chicago"
"4302 S Ashland Ave IL 60609",41.815681,-87.665543,1,rooftop,4302,"S Ashland Ave",,,Chicago,IL,"Cook County",60609,US,"City of Chicago"
"333 W North Ave IL 60610",41.910933,-87.638228,1,rooftop,333,"W North Ave",,,Chicago,IL,"Cook County",60610,US,"City of Chicago"
"101 W Division St IL 60610",41.90405,-87.631444,1,range_interpolation,101,"W Division St",,,Chicago,IL,"Cook County",60610,US,"TIGER/Line® dataset from the US Census Bureau"
"20 E Chicago Ave IL 60611",41.896955,-87.627345,1,rooftop,20,"E Chicago Ave",,,Chicago,IL,"Cook County",60611,US,"City of Chicago"
"401 E Ontario St IL 60611",41.893281,-87.616679,1,rooftop,401,"E Ontario St",,,Chicago,IL,"Cook County",60611,US,"City of Chicago"
